i,lpips,bnorm,bnorm_expr,bnorm_eye,head_norm,arcface_cos,render_bs_valid,driving_bs_valid,render_yaw,render_pitch,render_roll
0,0.04782019555568695,0.5345155000686646,0.5252771377563477,0.09894824028015137,0.07866495847702026,0.8261075019836426,True,True,-0.021206986159086227,0.015299695543944836,-0.010951832868158817
1,0.046873677521944046,0.5299448370933533,0.5209000706672668,0.09749181568622589,0.07709687203168869,0.8210995197296143,True,True,-0.020724624395370483,0.01633608713746071,-0.011794909834861755
2,0.04684596136212349,0.5264418125152588,0.5173176527023315,0.09758828580379486,0.0753382071852684,0.8192815780639648,True,True,-0.020331192761659622,0.013779482804238796,-0.01080294419080019
3,0.0464911125600338,0.5278277397155762,0.5185019969940186,0.09878119826316833,0.07335394620895386,0.8205280900001526,True,True,-0.02027144841849804,0.013061823323369026,-0.010641917586326599
4,0.046069949865341187,0.5312094688415527,0.5217429995536804,0.09983845055103302,0.0715603157877922,0.8341786861419678,True,True,-0.021424146369099617,0.012315377593040466,-0.009440285153687
5,0.045253001153469086,0.5341059565544128,0.5245965719223022,0.10033749788999557,0.06983603537082672,0.8349533081054688,True,True,-0.021141700446605682,0.011924618855118752,-0.009013885632157326
6,0.045401521027088165,0.5360270142555237,0.5264837145805359,0.10069668292999268,0.06798765808343887,0.8329288363456726,True,True,-0.02168719656765461,0.01413637399673462,-0.009102383628487587
7,0.04447745531797409,0.5366408824920654,0.5271620750427246,0.1004168912768364,0.06736721843481064,0.8452773690223694,True,True,-0.017967434599995613,0.011789933778345585,-0.009731627069413662
8,0.04390250891447067,0.534967839717865,0.5257514715194702,0.09887312352657318,0.06536424905061722,0.8413994312286377,True,True,-0.01936161145567894,0.01727382093667984,-0.011435411870479584
9,0.044155776500701904,0.5307871103286743,0.5220096707344055,0.09612925350666046,0.06452737003564835,0.8468369245529175,True,True,-0.019228095188736916,0.01657978445291519,-0.011373291723430157
10,0.045069269835948944,0.5265663862228394,0.5182766318321228,0.09306707978248596,0.0639817863702774,0.8443037271499634,True,True,-0.01876974105834961,0.0171077698469162,-0.011577941477298737
11,0.04455645754933357,0.5156389474868774,0.5083230137825012,0.08655169606208801,0.06444638967514038,0.8442254066467285,True,True,-0.017821917310357094,0.020746668800711632,-0.011272161267697811
12,0.04424203932285309,0.5037329792976379,0.49697345495224,0.08224550634622574,0.06607341021299362,0.8514033555984497,True,True,-0.01803038828074932,0.019267799332737923,-0.012424690648913383
13,0.04354696720838547,0.5066788792610168,0.5003380179405212,0.07990840822458267,0.06621156632900238,0.8495044708251953,True,True,-0.01804494857788086,0.018043391406536102,-0.01413479633629322
14,0.04384778067469597,0.5094367861747742,0.5034407377243042,0.0779312327504158,0.06498296558856964,0.8505492806434631,True,True,-0.018538909032940865,0.017465312033891678,-0.014544911682605743
15,0.043750107288360596,0.5078568458557129,0.5020613074302673,0.07650504261255264,0.06226301193237305,0.8538556694984436,True,True,-0.018229002133011818,0.01735984906554222,-0.014344342984259129
16,0.04371175169944763,0.49184539914131165,0.48510512709617615,0.08114758878946304,0.059356410056352615,0.8601254820823669,True,True,-0.019562384113669395,0.018686935305595398,-0.01602770946919918
17,0.04291374981403351,0.4848329722881317,0.4776509404182434,0.08314178138971329,0.05591915547847748,0.8605180978775024,True,True,-0.019722554832696915,0.020654980093240738,-0.014265378005802631
18,0.042467400431632996,0.4781530499458313,0.4708656370639801,0.08316200971603394,0.05122976377606392,0.8613711595535278,True,True,-0.018013611435890198,0.019247887656092644,-0.012358896434307098
19,0.04270549118518829,0.46608784794807434,0.45859917998313904,0.083214670419693,0.04582030698657036,0.8632595539093018,True,True,-0.019912684336304665,0.018103457987308502,-0.014592516236007214
20,0.04290865734219551,0.4563145339488983,0.4486570954322815,0.0832451656460762,0.03993206098675728,0.8743451237678528,True,True,-0.020235849544405937,0.01753857545554638,-0.013224569149315357
21,0.042160965502262115,0.4547746181488037,0.4470498263835907,0.08346493542194366,0.03395489603281021,0.8761012554168701,True,True,-0.020419150590896606,0.01805170811712742,-0.011117476038634777
22,0.04082399234175682,0.45315995812416077,0.4450578987598419,0.08530784398317337,0.028292985633015633,0.8752539753913879,True,True,-0.02143516018986702,0.018888065591454506,-0.008730823174118996
23,0.04000971466302872,0.4552409052848816,0.44669923186302185,0.08777288347482681,0.023124301806092262,0.886233389377594,True,True,-0.022291360422968864,0.020161792635917664,-0.007883700542151928
24,0.03892023488879204,0.4697684645652771,0.4607822299003601,0.09144489467144012,0.016850976273417473,0.8959947824478149,True,True,-0.023191360756754875,0.022007249295711517,-0.00864949356764555
25,0.036708127707242966,0.48556995391845703,0.47455427050590515,0.10284163057804108,0.0229323860257864,0.9068070650100708,True,True,-0.022272611036896706,0.024984508752822876,-0.007834747433662415
26,0.034034613519907,0.5187891125679016,0.5059279799461365,0.11479982733726501,0.04054605960845947,0.9174151420593262,True,True,-0.020276740193367004,0.018884016200900078,-0.010463139973580837
27,0.031867124140262604,0.5243911147117615,0.5098728537559509,0.12253838777542114,0.0566241592168808,0.9333829879760742,True,True,-0.023581640794873238,0.015993840992450714,-0.010477686300873756
28,0.03231242299079895,0.5154273509979248,0.5016830563545227,0.11823466420173645,0.06536304950714111,0.934912383556366,True,True,-0.021776108071208,0.019198337569832802,-0.010053192265331745
29,0.032298192381858826,0.4851089417934418,0.4716342091560364,0.113542340695858,0.06704828143119812,0.9363546371459961,True,True,-0.02386999875307083,0.015962816774845123,-0.009746170602738857
30,0.03292547166347504,0.4732809364795685,0.46240755915641785,0.10086686164140701,0.06210614740848541,0.9343246221542358,True,True,-0.02161991037428379,0.0171548780053854,-0.008274154737591743
31,0.03400828316807747,0.45877957344055176,0.45219743251800537,0.0774351954460144,0.05421961471438408,0.927988588809967,True,True,-0.020813845098018646,0.014160390011966228,-0.008747930638492107
32,0.036970704793930054,0.4468702971935272,0.4436834752559662,0.05327316373586655,0.04921256750822067,0.9141837358474731,True,True,-0.019946850836277008,0.023219801485538483,-0.005662024021148682
33,0.03753276914358139,0.4415557086467743,0.44031932950019836,0.033020149916410446,0.044753219932317734,0.9115999341011047,True,True,-0.018833249807357788,0.02166067063808441,-0.004618532489985228
34,0.03705701604485512,0.42796391248703003,0.42722630500793457,0.025116274133324623,0.041187550872564316,0.9103331565856934,True,True,-0.018405277281999588,0.021703096106648445,-0.0010673424694687128
35,0.03700907155871391,0.4255623519420624,0.4245328903198242,0.029582710936665535,0.04454481974244118,0.9077224135398865,True,True,-0.018465658649802208,0.019668007269501686,-0.0032810699194669724
36,0.0385233499109745,0.4392179846763611,0.4375777244567871,0.03792347013950348,0.05464457347989082,0.9030285477638245,True,True,-0.019892612472176552,0.025980135425925255,-0.00011090144835179672
37,0.037559278309345245,0.4483433961868286,0.44538238644599915,0.05144260823726654,0.06561937183141708,0.90503990650177,True,True,-0.018957970663905144,0.021410997956991196,-0.002490344690158963
38,0.03667712211608887,0.4539162516593933,0.4481235444545746,0.07228611409664154,0.07646510004997253,0.9108442664146423,True,True,-0.020262479782104492,0.018581604585051537,-0.002240799367427826
39,0.03613797575235367,0.4605454206466675,0.4522019326686859,0.08726692199707031,0.08323643356561661,0.9116551280021667,True,True,-0.0229689572006464,0.02002856321632862,-0.0022208981681615114
40,0.03566407784819603,0.47151610255241394,0.4620184302330017,0.0941615104675293,0.08981066197156906,0.912230908870697,True,True,-0.0216614231467247,0.02044788934290409,-0.0015983169432729483
41,0.034304797649383545,0.4886529743671417,0.47798749804496765,0.10153653472661972,0.0986114963889122,0.9108593463897705,True,True,-0.02142803929746151,0.01900169625878334,-0.0017194378888234496
42,0.03336136415600777,0.4963380694389343,0.4851895272731781,0.10460693389177322,0.10769180953502655,0.9187923669815063,True,True,-0.01944892294704914,0.02002311870455742,-0.0036685329396277666
43,0.03293514996767044,0.5035708546638489,0.4922969937324524,0.10595889389514923,0.1156974509358406,0.9237136840820312,True,True,-0.016896862536668777,0.01734163984656334,-0.004110241774469614
44,0.032931290566921234,0.5134803652763367,0.501795768737793,0.10891767591238022,0.12212474644184113,0.9203734397888184,True,True,-0.019264578819274902,0.016447685658931732,-0.003979365807026625
45,0.03258521854877472,0.5180875062942505,0.5060667395591736,0.11095525324344635,0.12473052740097046,0.9240632653236389,True,True,-0.018834495916962624,0.017904141917824745,-0.004859211854636669
46,0.03302449733018875,0.5257468223571777,0.5139750242233276,0.11063165962696075,0.12099120020866394,0.9249966144561768,True,True,-0.01910712942481041,0.017912941053509712,-0.00434357114136219
47,0.033381134271621704,0.531042754650116,0.5200077295303345,0.10769543051719666,0.11173199117183685,0.9204046726226807,True,True,-0.018814507871866226,0.020128954201936722,-0.00250655272975564
48,0.03493611514568329,0.5271711945533752,0.5172971487045288,0.10155324637889862,0.10148318856954575,0.9193696975708008,True,True,-0.0186390932649374,0.019645806401968002,-0.0007517525227740407
49,0.037783145904541016,0.5162825584411621,0.5091396570205688,0.08558356016874313,0.08799669146537781,0.9138549566268921,True,True,-0.015404408797621727,0.02073732390999794,0.0017169895581901073
50,0.04029314965009689,0.5060111284255981,0.5014815330505371,0.06755422055721283,0.07327790558338165,0.9105043411254883,True,True,-0.018059778958559036,0.024292517453432083,0.002556379185989499
51,0.04183545336127281,0.5008485913276672,0.4985262453556061,0.048176053911447525,0.05845499783754349,0.9089617729187012,True,True,-0.020623592659831047,0.02320811152458191,8.128820627462119e-05
52,0.04296394810080528,0.44265010952949524,0.44063255190849304,0.042214956134557724,0.04188818112015724,0.9032086133956909,True,True,-0.017566921189427376,0.029991531744599342,0.001175801269710064
53,0.04528660699725151,0.38984981179237366,0.38800233602523804,0.03790854290127754,0.02814917452633381,0.8976267576217651,True,True,-0.0212706308811903,0.027768408879637718,0.00011240996536798775
54,0.046638209372758865,0.3714717626571655,0.3693416714668274,0.03972410410642624,0.019164858385920525,0.8913713693618774,True,True,-0.022143933922052383,0.029771169647574425,0.0007496230537071824
55,0.047058552503585815,0.3623884320259094,0.36019349098205566,0.039825063198804855,0.01531387958675623,0.8889457583427429,True,True,-0.021024547517299652,0.029199635609984398,-0.0005879136733710766
56,0.04739918187260628,0.34257638454437256,0.3399854004383087,0.04205368831753731,0.013567875139415264,0.8953908681869507,True,True,-0.019817015156149864,0.02797740511596203,-0.0001409404940204695
57,0.046671438962221146,0.33535468578338623,0.33231666684150696,0.04503791034221649,0.012898134998977184,0.8932119607925415,True,True,-0.01978839933872223,0.02799178846180439,-0.0006238701171241701
58,0.04694296792149544,0.3120211362838745,0.3069858253002167,0.05582914128899574,0.011611146852374077,0.8935316205024719,True,True,-0.019640209153294563,0.029902733862400055,-0.0005774494493380189
59,0.047768138349056244,0.3076492249965668,0.3012281060218811,0.0625273659825325,0.009754098020493984,0.8960760831832886,True,True,-0.020069483667612076,0.028538793325424194,0.00019730129861272871
60,0.046809662133455276,0.30550459027290344,0.2975904643535614,0.06908662617206573,0.009117607027292252,0.899215579032898,True,True,-0.02041081339120865,0.031999461352825165,-0.0006658554775640368
61,0.048627231270074844,0.30603885650634766,0.2983894348144531,0.06799648702144623,0.01168191246688366,0.8992214798927307,True,True,-0.01564909517765045,0.04128841683268547,0.000365846004569903
62,0.04978695511817932,0.3333170413970947,0.3264094889163971,0.06750619411468506,0.016092142090201378,0.8941936492919922,True,True,-0.01578989438712597,0.041701171547174454,0.0006826773751527071
63,0.04885386675596237,0.3272117078304291,0.31997421383857727,0.06843975186347961,0.021182114258408546,0.8937811851501465,True,True,-0.01543895248323679,0.04201028496026993,0.0008406222914345562
64,0.05052463710308075,0.32055479288101196,0.31316396594047546,0.0684375911951065,0.026892704889178276,0.8894824981689453,True,True,-0.011920790188014507,0.04900210350751877,0.0036203754134476185
65,0.05352090299129486,0.3150705099105835,0.3067570626735687,0.07189949601888657,0.03792203590273857,0.8668653964996338,True,True,-0.010157671757042408,0.053959812968969345,0.0013591909082606435
66,0.055847615003585815,0.3196657598018646,0.3098925054073334,0.07843998819589615,0.051861248910427094,0.8523663282394409,True,True,-0.013907537795603275,0.05844472721219063,0.0015153116546571255
67,0.05611683055758476,0.3349590301513672,0.32486796379089355,0.0815986916422844,0.059984348714351654,0.846328616142273,True,True,-0.014311030507087708,0.06221332028508186,0.0029335832223296165
68,0.05877073481678963,0.3351193964481354,0.32298722863197327,0.0893547460436821,0.0717008113861084,0.8374603390693665,True,True,-0.012325113639235497,0.0733972117304802,0.0012989030219614506
69,0.06146061047911644,0.32564249634742737,0.3134779632091522,0.08817370235919952,0.08490116894245148,0.8298187255859375,True,True,-0.01381753385066986,0.06853418052196503,0.0033565605990588665
70,0.06334786117076874,0.3310583233833313,0.3189878761768341,0.0885794460773468,0.0954837054014206,0.8240644335746765,True,True,-0.012362700887024403,0.06801018863916397,0.006689540576189756
71,0.06346313655376434,0.32723140716552734,0.3143630921840668,0.090863898396492,0.10059770941734314,0.8323006629943848,True,True,-0.012858334928750992,0.07173176109790802,0.005513293202966452
72,0.0626009851694107,0.30521154403686523,0.2945019006729126,0.08014186471700668,0.1009807139635086,0.8316993713378906,True,True,-0.012735640630126,0.07002513110637665,0.011630821973085403
73,0.06211234629154205,0.30095967650413513,0.29227209091186523,0.07178967446088791,0.09875397384166718,0.8313766121864319,True,True,-0.012895629741251469,0.071495920419693,0.011378973722457886
74,0.06124327704310417,0.2932794690132141,0.2864145040512085,0.06308385729789734,0.09203589707612991,0.8333830833435059,True,True,-0.01309305801987648,0.0733170285820961,0.009628646075725555
75,0.0609283447265625,0.3319101333618164,0.3265444338321686,0.059439532458782196,0.08739349246025085,0.8341467976570129,True,True,-0.014185475185513496,0.06919924914836884,0.010019424371421337
76,0.06084548309445381,0.34030160307884216,0.33581483364105225,0.05507805198431015,0.08670210093259811,0.8341940641403198,True,True,-0.013411127030849457,0.06518883258104324,0.01061334926635027
77,0.061101268976926804,0.3424898684024811,0.33839499950408936,0.052802637219429016,0.08996942639350891,0.835165798664093,True,True,-0.012927060015499592,0.0661042109131813,0.010364205576479435
78,0.06148838251829147,0.3754456639289856,0.37150925397872925,0.054224926978349686,0.09287790954113007,0.8343915939331055,True,True,-0.012861359864473343,0.06685452163219452,0.010664242319762707
79,0.061653148382902145,0.38212162256240845,0.3782789409160614,0.05405542999505997,0.09194125235080719,0.8390524387359619,True,True,-0.012446409091353416,0.06722284853458405,0.010558067820966244
80,0.06213272735476494,0.35380539298057556,0.35023465752601624,0.05013915151357651,0.08646144717931747,0.8426171541213989,True,True,-0.011873163282871246,0.06710343062877655,0.0072424947284162045
81,0.06209283322095871,0.32327306270599365,0.3197469115257263,0.04761712998151779,0.08150437474250793,0.842081606388092,True,True,-0.011960710398852825,0.07181327044963837,0.006961890496313572
82,0.0629044622182846,0.31942078471183777,0.3163183331489563,0.04441104829311371,0.08001848310232162,0.8410861492156982,True,True,-0.014067309908568859,0.07314524054527283,0.0071554770693182945
83,0.06285882741212845,0.3300984799861908,0.3271239697933197,0.04421424865722656,0.08018796890974045,0.8443424701690674,True,True,-0.01409622561186552,0.07244282215833664,0.006803211756050587
84,0.06297634541988373,0.3545214831829071,0.3516489863395691,0.04503852128982544,0.08162416517734528,0.8461402654647827,True,True,-0.012587759643793106,0.07413759082555771,0.00783434510231018
85,0.06295429170131683,0.3387511968612671,0.3350353240966797,0.05003703013062477,0.08424817770719528,0.8482860326766968,True,True,-0.012388067319989204,0.07384438812732697,0.008013664744794369
86,0.06253214925527573,0.3120816946029663,0.30702027678489685,0.05597810074687004,0.08516174554824829,0.8450789451599121,True,True,-0.012278766371309757,0.07258569449186325,0.007173420395702124
87,0.06217045709490776,0.3145967125892639,0.3095356225967407,0.0562029629945755,0.08254695683717728,0.8460972309112549,True,True,-0.012817620299756527,0.07125308364629745,0.007936288602650166
88,0.06183677911758423,0.3038395047187805,0.29957371950149536,0.05073481798171997,0.07929906994104385,0.8490715622901917,True,True,-0.012891420163214207,0.07147098332643509,0.008799438364803791
89,0.061774447560310364,0.2994716465473175,0.29536187648773193,0.04944320395588875,0.07765232771635056,0.8489173650741577,True,True,-0.01091055292636156,0.0729677751660347,0.009614069946110249
90,0.06123761832714081,0.29982295632362366,0.29605454206466675,0.047386713325977325,0.07808328419923782,0.8505353927612305,True,True,-0.012240427546203136,0.07240909337997437,0.009954892098903656
91,0.06073429435491562,0.3004860281944275,0.29703399538993835,0.045416586101055145,0.07794276624917984,0.8548256158828735,True,True,-0.012288340367376804,0.07330270856618881,0.009846722707152367
92,0.06308640539646149,0.3098228871822357,0.30653154850006104,0.045040313154459,0.07688650488853455,0.8524788618087769,True,True,-0.011662923730909824,0.07243000715970993,0.010951662436127663
93,0.06247759610414505,0.3167661726474762,0.31353235244750977,0.045147377997636795,0.07442329078912735,0.8513146638870239,True,True,-0.010691095143556595,0.07105760276317596,0.01178738009184599
94,0.06404455006122589,0.3241174519062042,0.32090479135513306,0.04552190750837326,0.07360795885324478,0.8538957834243774,True,True,-0.011487439274787903,0.07285622507333755,0.0117580471560359
95,0.06360480934381485,0.32296261191368103,0.31975433230400085,0.04540952667593956,0.07448114454746246,0.852468729019165,True,True,-0.012294050306081772,0.07252273708581924,0.010669879615306854
96,0.06449079513549805,0.3129073679447174,0.3096633851528168,0.044940002262592316,0.07451335340738297,0.857153058052063,True,True,-0.012101671658456326,0.07346644252538681,0.011346965096890926
97,0.06368721276521683,0.3114493489265442,0.30816277861595154,0.04512621462345123,0.07311694324016571,0.8554062247276306,True,True,-0.011593341827392578,0.07279741764068604,0.011965295299887657
98,0.06378962844610214,0.32569801807403564,0.32245466113090515,0.045849476009607315,0.07228226214647293,0.8533809185028076,True,True,-0.011830014176666737,0.07144683599472046,0.011861163191497326
99,0.06276916712522507,0.3453427851200104,0.34213531017303467,0.04695837199687958,0.07280095666646957,0.8572661876678467,True,True,-0.011700453236699104,0.07076601684093475,0.01218585204333067
100,0.06332582980394363,0.33675098419189453,0.33310917019844055,0.0493912473320961,0.07365551590919495,0.8566535115242004,True,True,-0.011151362210512161,0.07147863507270813,0.011509932577610016
101,0.06285394728183746,0.3138914406299591,0.30968910455703735,0.051190782338380814,0.07520280033349991,0.855669379234314,True,True,-0.01032848097383976,0.06976277381181717,0.010955541394650936
102,0.06278374791145325,0.30683907866477966,0.302209734916687,0.053098853677511215,0.07695668190717697,0.8555996417999268,True,True,-0.009915277361869812,0.06926389783620834,0.011005396023392677
103,0.06286903470754623,0.30661338567733765,0.3019525706768036,0.05325813964009285,0.07807856798171997,0.8583270311355591,True,True,-0.009026010520756245,0.06848695129156113,0.011142066679894924
104,0.06458690762519836,0.3055764138698578,0.30086004734039307,0.05348056182265282,0.07921702414751053,0.8620568513870239,True,True,-0.007862876169383526,0.07039857655763626,0.011117368005216122
105,0.06352449953556061,0.30501070618629456,0.3003561794757843,0.053081903606653214,0.07940942794084549,0.8625759482383728,True,True,-0.008622303605079651,0.06754507124423981,0.011456003412604332
106,0.06381233036518097,0.3041800558567047,0.2996143102645874,0.05250493809580803,0.07833661139011383,0.8613125085830688,True,True,-0.00971910823136568,0.06820157170295715,0.01214967668056488
107,0.06382136791944504,0.3037903606891632,0.29938995838165283,0.05151931568980217,0.07690274715423584,0.8608574867248535,True,True,-0.008895758539438248,0.06739331781864166,0.011632747016847134
108,0.06497307866811752,0.3036864995956421,0.2993987500667572,0.050851479172706604,0.07639188319444656,0.8625622391700745,True,True,-0.007671704050153494,0.06816231459379196,0.011898855678737164
109,0.06481113284826279,0.3058205842971802,0.30197396874427795,0.04835239797830582,0.07598192989826202,0.8642746806144714,True,True,-0.008685889653861523,0.0661451667547226,0.012579493224620819
110,0.06452503800392151,0.3094618618488312,0.30569395422935486,0.04814393073320389,0.07475508749485016,0.8633009195327759,True,True,-0.008945129811763763,0.06859800964593887,0.011728540994226933
111,0.06434625387191772,0.31719085574150085,0.31344544887542725,0.04860030487179756,0.07403210550546646,0.8642443418502808,True,True,-0.008237198926508427,0.06668464094400406,0.011774512939155102
112,0.0643896758556366,0.3227919042110443,0.3190794885158539,0.04881483316421509,0.07358349859714508,0.8650250434875488,True,True,-0.00798021536320448,0.06669706851243973,0.011856216937303543
113,0.06459829211235046,0.3252190947532654,0.32155895233154297,0.048655033111572266,0.07213982939720154,0.8626123070716858,True,True,-0.008151846937835217,0.069477379322052,0.011590669862926006
114,0.06429926306009293,0.32775840163230896,0.32411783933639526,0.04871544614434242,0.07167363166809082,0.8619229197502136,True,True,-0.007759374566376209,0.06858598440885544,0.011778588406741619
115,0.06415556371212006,0.32892197370529175,0.3254607617855072,0.047591377049684525,0.07010732591152191,0.8660916686058044,True,True,-0.007277221418917179,0.0675644651055336,0.01170843094587326
116,0.06409437954425812,0.3280850648880005,0.3247569799423218,0.04661259055137634,0.06958384066820145,0.8690083026885986,True,True,-0.007875961251556873,0.06831654906272888,0.012147340923547745
117,0.0640430897474289,0.3254716396331787,0.32217276096343994,0.0462222695350647,0.06952626258134842,0.8690807223320007,True,True,-0.008443542756140232,0.06904826313257217,0.01154299732297659
118,0.06443485617637634,0.3246833086013794,0.3213918209075928,0.046114545315504074,0.06898468732833862,0.8689388632774353,True,True,-0.008696965873241425,0.06881052255630493,0.011700143106281757
