i,lpips,bnorm,bnorm_expr,bnorm_eye,head_norm,arcface_cos,render_bs_valid,driving_bs_valid,render_yaw,render_pitch,render_roll
0,0.07597828656435013,0.3386164605617523,0.3290727138519287,0.07982631027698517,0.21749894320964813,0.6976600885391235,True,True,-0.01627269573509693,0.014254583977162838,0.023309657350182533
1,0.07602189481258392,0.3389827609062195,0.32872411608695984,0.08276328444480896,0.22388894855976105,0.6786019802093506,True,True,-0.009923920966684818,0.014385591261088848,0.024833083152770996
2,0.07677550613880157,0.34383735060691833,0.332488089799881,0.08761157095432281,0.2325415015220642,0.6799513697624207,True,True,-0.009472137317061424,0.017192330211400986,0.027199355885386467
3,0.07566173374652863,0.35268327593803406,0.3392440378665924,0.09643112123012543,0.23596084117889404,0.6904764175415039,True,True,-0.007617676164954901,0.02465163543820381,0.02379472181200981
4,0.07719209790229797,0.34605681896209717,0.3315362334251404,0.09919200837612152,0.24191491305828094,0.671522855758667,True,True,-0.012043897062540054,0.016755307093262672,0.025458380579948425
5,0.07681266963481903,0.37334057688713074,0.35652679204940796,0.11077827960252762,0.2463764101266861,0.664503812789917,True,True,-0.014790474437177181,0.01663908362388611,0.024531932547688484
6,0.07682189345359802,0.36677300930023193,0.3477112948894501,0.11670173704624176,0.246190145611763,0.6539783477783203,True,True,-0.016319770365953445,0.01632065512239933,0.02360100857913494
7,0.07601567357778549,0.3659040629863739,0.34409719705581665,0.12443027645349503,0.24722851812839508,0.6665046215057373,True,True,-0.013280287384986877,0.01663351058959961,0.02318800427019596
8,0.07819457352161407,0.3668701946735382,0.34349361062049866,0.1288638561964035,0.24901296198368073,0.6604011058807373,True,True,-0.012215107679367065,0.024558326229453087,0.02384120598435402
9,0.07763120532035828,0.36856111884117126,0.3446214497089386,0.13066494464874268,0.2586686313152313,0.654312252998352,True,True,-0.008405874483287334,0.0327267087996006,0.02111576870083809
10,0.07799426466226578,0.3876380920410156,0.36171358823776245,0.13937915861606598,0.26610830426216125,0.6560215950012207,True,True,-0.012004213407635689,0.033143457025289536,0.021805522963404655
11,0.07728473842144012,0.3963145911693573,0.3688727021217346,0.14490747451782227,0.26945510506629944,0.6440098285675049,True,True,-0.011860080063343048,0.03556046262383461,0.021374793723225594
12,0.07830492407083511,0.4013034701347351,0.3716205358505249,0.15146830677986145,0.2762744426727295,0.6253302693367004,True,True,-0.012369132600724697,0.035941172391176224,0.024604549631476402
13,0.07850564271211624,0.4128354489803314,0.38165175914764404,0.1574009358882904,0.282599538564682,0.6482691764831543,True,True,-0.014302634634077549,0.03833327069878578,0.026475830003619194
14,0.07930367439985275,0.4200451970100403,0.38874995708465576,0.1590956598520279,0.29334279894828796,0.6316813230514526,True,True,-0.015719084069132805,0.03985339775681496,0.024366026744246483
15,0.07880604267120361,0.4205428659915924,0.39063161611557007,0.1557665765285492,0.30434781312942505,0.6217947006225586,True,True,-0.015200645662844181,0.03925023227930069,0.02401754818856716
16,0.079689159989357,0.4171867370605469,0.3887644112110138,0.15135066211223602,0.3124791979789734,0.6198156476020813,True,True,-0.012152410112321377,0.04267630726099014,0.02812265045940876
17,0.07998108118772507,0.41431114077568054,0.3866988718509674,0.1487201750278473,0.3183099031448364,0.6107009649276733,True,True,-0.009840273298323154,0.04474018141627312,0.0266096293926239
18,0.07952311635017395,0.42569437623023987,0.3990623950958252,0.14820560812950134,0.3204291760921478,0.6079413890838623,True,True,-0.012425027787685394,0.043727513402700424,0.025250596925616264
19,0.07898002117872238,0.4362931549549103,0.40900129079818726,0.15188711881637573,0.3211602568626404,0.6151243448257446,True,True,-0.01392048317939043,0.041067834943532944,0.026893191039562225
20,0.0794883742928505,0.4356938600540161,0.40742364525794983,0.1543862223625183,0.32245683670043945,0.612108588218689,True,True,-0.01059623621404171,0.053652599453926086,0.025792453438043594
21,0.07718153297901154,0.41288527846336365,0.3849900960922241,0.14918741583824158,0.3195670247077942,0.6215214133262634,True,True,-0.010950013063848019,0.05515507981181145,0.02308814413845539
22,0.07633881270885468,0.40797916054725647,0.37916573882102966,0.1505999118089676,0.31797298789024353,0.6230792999267578,True,True,-0.012417178601026535,0.05113185569643974,0.02352982945740223
23,0.07396002113819122,0.40696707367897034,0.37781819701194763,0.15124689042568207,0.31951284408569336,0.6235949397087097,True,True,-0.010745895095169544,0.05421476066112518,0.023320315405726433
24,0.07352127879858017,0.4404469132423401,0.41380709409713745,0.15085478127002716,0.32078590989112854,0.6400637626647949,True,True,-0.01241215318441391,0.0622214637696743,0.022451890632510185
25,0.07070103287696838,0.4474678933620453,0.4227946996688843,0.14653384685516357,0.31964078545570374,0.6460744142532349,True,True,-0.016609100624918938,0.06300240010023117,0.02028142474591732
