i,lpips,bnorm,bnorm_expr,bnorm_eye,head_norm,arcface_cos,render_bs_valid,driving_bs_valid,render_yaw,render_pitch,render_roll
0,0.059631794691085815,0.6726201772689819,0.6610006093978882,0.12448326498270035,0.06411309540271759,0.752511739730835,True,True,-0.03236714377999306,0.012403645552694798,-0.0017374103190377355
1,0.05650470405817032,0.6729487776756287,0.6633945107460022,0.11299474537372589,0.06233232840895653,0.7553858160972595,True,True,-0.03168386593461037,0.008422758430242538,-0.0007634047651663423
2,0.05635862797498703,0.6910785436630249,0.6808211207389832,0.11862603574991226,0.05786220356822014,0.7579602003097534,True,True,-0.03241570666432381,0.009028661996126175,-0.0010771899251267314
3,0.05424632504582405,0.6972827911376953,0.6866683959960938,0.12120133638381958,0.058191850781440735,0.767429769039154,True,True,-0.032199468463659286,0.006710154935717583,-0.00250078528188169
4,0.05399923026561737,0.6908326148986816,0.679889976978302,0.12247156351804733,0.05554351210594177,0.7671762704849243,True,True,-0.03398231789469719,0.008153403177857399,-0.0022806411143392324
5,0.05228254571557045,0.6768833994865417,0.6658117771148682,0.12192527949810028,0.052971724420785904,0.7690814733505249,True,True,-0.03423463925719261,0.011060585267841816,-0.0017504856223240495
6,0.05220513418316841,0.7027797698974609,0.6910497546195984,0.12786541879177094,0.05439623072743416,0.7697683572769165,True,True,-0.0322769433259964,0.012025765143334866,-0.002220130991190672
7,0.051003456115722656,0.7062483429908752,0.6942036151885986,0.12987717986106873,0.05740513280034065,0.7660822868347168,True,True,-0.030120396986603737,0.006077732425183058,0.000891665171366185
8,0.05038132891058922,0.6997767686843872,0.6876222491264343,0.12985815107822418,0.059111617505550385,0.7681508660316467,True,True,-0.030664116144180298,0.007196336518973112,-0.0023546386510133743
9,0.0503106415271759,0.6967606544494629,0.6847911477088928,0.12859433889389038,0.05772613734006882,0.7686958312988281,True,True,-0.029124224558472633,0.011460487730801105,-0.0013644818682223558
10,0.05042533203959465,0.6942926645278931,0.6825739145278931,0.12702403962612152,0.05736318603157997,0.7732509970664978,True,True,-0.029089003801345825,0.012806211598217487,-0.001763021107763052
11,0.04900418221950531,0.699428379535675,0.6881425976753235,0.1251392811536789,0.05822915956377983,0.7761006355285645,True,True,-0.029114408418536186,0.007454826962202787,-0.0015373864443972707
12,0.049981698393821716,0.7003007531166077,0.6890952587127686,0.12477526813745499,0.05576719716191292,0.782274603843689,True,True,-0.029342342168092728,0.013460005633533001,0.00016164660337381065
