i,lpips,bnorm
0,0.08241850137710571,0.42492255568504333
1,0.0822523683309555,0.4227057993412018
2,0.08465834707021713,0.3823637068271637
3,0.08418510109186172,0.37895527482032776
4,0.08598145842552185,0.38194990158081055
5,0.08426596224308014,0.41225340962409973
6,0.08718952536582947,0.41836848855018616
7,0.08818061649799347,0.4449506103992462
8,0.09018190205097198,0.4727279245853424
9,0.0881730318069458,0.47530508041381836
10,0.08749620616436005,0.4415423274040222
11,0.08527877926826477,0.42731672525405884
12,0.08379734307527542,0.39134278893470764
13,0.0774589329957962,0.3694557249546051
14,0.07550805062055588,0.358984112739563
15,0.0729733556509018,0.35486844182014465
16,0.07248401641845703,0.3557753562927246
17,0.07168509811162949,0.35858583450317383
18,0.06833893805742264,0.36202508211135864
19,0.06471595168113708,0.4309946298599243
20,0.06272909045219421,0.4040299355983734
21,0.05992640554904938,0.3598223626613617
22,0.05566346272826195,0.37441855669021606
23,0.04792317748069763,0.3904770314693451
24,0.040325313806533813,0.46620261669158936
25,0.038537733256816864,0.5015191435813904
26,0.03991994261741638,0.4246409237384796
27,0.0396982841193676,0.44041502475738525
28,0.03873521089553833,0.4893134534358978
29,0.03916851058602333,0.40818724036216736
30,0.03865824639797211,0.40369147062301636
31,0.039324115961790085,0.3250734508037567
32,0.038737036287784576,0.3774382174015045
33,0.03681652247905731,0.3928462564945221
34,0.03484204411506653,0.3588639199733734
35,0.034111786633729935,0.38303080201148987
36,0.03471742197871208,0.3840670883655548
37,0.034512490034103394,0.38591063022613525
38,0.03487754985690117,0.39672282338142395
39,0.034677259624004364,0.37786537408828735
40,0.03662334755063057,0.4004916846752167
41,0.03642982244491577,0.4416655898094177
42,0.0704776868224144,0.5282752513885498
43,0.13107115030288696,0.7634709477424622
44,0.202602356672287,0.924650251865387
45,0.2531663179397583,0.8887597918510437
46,0.3019099533557892,0.7293031811714172
47,0.33495837450027466,0.6958351731300354
48,0.3633701801300049,0.7668451070785522
49,0.3734138607978821,0.7989029288291931
50,0.37688425183296204,0.7968679070472717
51,0.37939539551734924,0.7875087857246399
52,0.38056182861328125,0.8074470162391663
53,0.38002854585647583,0.8244346380233765
54,0.3794708251953125,0.8332048058509827
55,0.3740294575691223,0.7914072871208191
56,0.36438804864883423,0.7541305422782898
57,0.3415285646915436,0.7811808586120605
58,0.3086622655391693,0.9255957007408142
59,0.1924588978290558,0.690617024898529
