i,lpips,bnorm,bnorm_expr,bnorm_eye,head_norm,arcface_cos,render_bs_valid,driving_bs_valid,render_yaw,render_pitch,render_roll
0,0.06857684254646301,0.6239066123962402,0.6071629524230957,0.14357078075408936,0.10671401768922806,0.6816790103912354,True,True,-0.025949828326702118,0.044542696326971054,0.004531127866357565
1,0.06678814440965652,0.6333576440811157,0.6168811321258545,0.1435254067182541,0.10171517729759216,0.6700344085693359,True,True,-0.029238883405923843,0.045485686510801315,0.004583052359521389
2,0.06703108549118042,0.5888568758964539,0.5714832544326782,0.14198346436023712,0.11015599966049194,0.6750515699386597,True,True,-0.027055412530899048,0.04473895952105522,0.00396121246740222
3,0.0670870915055275,0.6307665705680847,0.6145997643470764,0.1418929547071457,0.11202910542488098,0.6784591674804688,True,True,-0.023058941587805748,0.04805874824523926,0.003534825751557946
4,0.06730365753173828,0.6124407649040222,0.596361517906189,0.13941502571105957,0.1020236611366272,0.6877376437187195,True,True,-0.026106199249625206,0.04715156927704811,0.008397841826081276
5,0.06576158106327057,0.606704831123352,0.5906543731689453,0.13862952589988708,0.10630214214324951,0.6841257810592651,True,True,-0.024136362597346306,0.04776744917035103,0.005783642176538706
6,0.06538791209459305,0.5927196145057678,0.5755065679550171,0.1418052762746811,0.10574327409267426,0.6763507127761841,True,True,-0.023346994072198868,0.048776090145111084,0.007157907821238041
7,0.06332388520240784,0.6073229908943176,0.5915799736976624,0.1373838186264038,0.09826820343732834,0.6976156234741211,True,True,-0.023776240646839142,0.050603702664375305,0.006961618550121784
8,0.06353756785392761,0.607318103313446,0.5931980013847351,0.1301974356174469,0.09858255833387375,0.6988562345504761,True,True,-0.021037667989730835,0.054057780653238297,0.005168143659830093
9,0.06203622370958328,0.536534309387207,0.5211433172225952,0.1275879144668579,0.09178303182125092,0.7026810050010681,True,True,-0.02340777777135372,0.04970727488398552,0.00681714341044426
10,0.06193827465176582,0.5757122039794922,0.5671674013137817,0.0988214835524559,0.08847185969352722,0.7101173400878906,True,True,-0.02316429279744625,0.051684483885765076,0.006842289585620165
11,0.060066744685173035,0.48117494583129883,0.47513532638549805,0.07599838078022003,0.07975801825523376,0.7103644609451294,True,True,-0.02355371229350567,0.04977869987487793,0.00651851249858737
12,0.06031644344329834,0.5227416157722473,0.5187429785728455,0.06453301757574081,0.07116328179836273,0.7184280157089233,True,True,-0.02205587364733219,0.052362147718667984,0.005094097461551428
13,0.05921417102217674,0.5420762300491333,0.5390949845314026,0.05677381157875061,0.06267787516117096,0.7216545939445496,True,True,-0.021659856662154198,0.054385725408792496,0.004006358794867992
14,0.05978837609291077,0.5068546533584595,0.5042605996131897,0.05121360346674919,0.059512875974178314,0.7220247983932495,True,True,-0.022245630621910095,0.0538642592728138,0.004711484536528587
15,0.056991416960954666,0.5060074329376221,0.5041142106056213,0.04373059794306755,0.047147151082754135,0.7473050951957703,True,True,-0.02662419155240059,0.04478805512189865,0.0029129169415682554
16,0.05619772896170616,0.4674919843673706,0.4646569490432739,0.05140717327594757,0.04004021733999252,0.7532114386558533,True,True,-0.024397190660238266,0.04359670728445053,0.001345431781373918
17,0.05644158646464348,0.4658549427986145,0.45937201380729675,0.07744798809289932,0.03743916004896164,0.7602524757385254,True,True,-0.023131955415010452,0.04445689916610718,0.004208867903798819
18,0.056569360196590424,0.4900442063808441,0.48337218165397644,0.08058926463127136,0.04080873355269432,0.7602541446685791,True,True,-0.02381712757050991,0.0450388565659523,0.003960839938372374
19,0.05548202991485596,0.4656238555908203,0.4584483206272125,0.08142907917499542,0.04130421206355095,0.768345832824707,True,True,-0.024736518040299416,0.04417707398533821,0.0018157637678086758
20,0.0555984303355217,0.49620065093040466,0.4900875389575958,0.07764863222837448,0.043509144335985184,0.7741178870201111,True,True,-0.025400934740900993,0.047730691730976105,0.002175691071897745
21,0.05480156093835831,0.5025815963745117,0.4977794885635376,0.06930948793888092,0.04195220023393631,0.7748473882675171,True,True,-0.02414621226489544,0.0429212711751461,0.0020058646332472563
22,0.05446799471974373,0.45112574100494385,0.4466135799884796,0.06364569067955017,0.03983251750469208,0.7886934280395508,True,True,-0.023819826543331146,0.03925511986017227,0.002314957557246089
23,0.052072323858737946,0.5535097718238831,0.5522292852401733,0.037628818303346634,0.024951735511422157,0.8086529970169067,True,True,-0.02747243270277977,0.03163936734199524,0.0023615057580173016
24,0.04853023588657379,1.057364821434021,1.0569061040878296,0.031140301376581192,0.03525397181510925,0.8583253622055054,True,True,-0.024247214198112488,0.03637228533625603,0.003299294738098979
25,0.043110914528369904,1.2896809577941895,1.288603663444519,0.05270138382911682,0.0582672618329525,0.8836965560913086,True,True,-0.029567096382379532,0.022152066230773926,-0.0008653681725263596
26,0.03851117193698883,1.3846230506896973,1.3819586038589478,0.0858568623661995,0.07328072935342789,0.9078537225723267,True,True,-0.028342071920633316,0.021860623732209206,-0.0003049331426154822
27,0.03580169752240181,1.4536447525024414,1.450638771057129,0.09343668073415756,0.08758656680583954,0.9214332103729248,True,True,-0.025195172056555748,0.0228927843272686,0.00012698334467131644
28,0.03457621484994888,1.5133341550827026,1.5103641748428345,0.09476704150438309,0.08848705142736435,0.9307681918144226,True,True,-0.02646574378013611,0.025439007207751274,-0.001996777718886733
29,0.03463487699627876,1.5476653575897217,1.544947624206543,0.09167928993701935,0.08952266722917557,0.9288989305496216,True,True,-0.026704097166657448,0.02106204815208912,-0.004663625732064247
30,0.03294126316905022,1.4640607833862305,1.4610463380813599,0.09390248358249664,0.09601115435361862,0.9375998973846436,True,True,-0.024674320593476295,0.02003331482410431,-0.005538756959140301
31,0.031233791261911392,0.6219229102134705,0.6077884435653687,0.13183818757534027,0.11946184933185577,0.950093150138855,True,True,-0.026522355154156685,0.014713859185576439,-0.007289855740964413
32,0.03683958202600479,0.7990450263023376,0.7850266695022583,0.1490168571472168,0.10245756804943085,0.9070364236831665,True,True,-0.02747427113354206,0.02232009917497635,-0.00031504748039878905
33,0.04466240853071213,0.7018293142318726,0.6929599642753601,0.11122418940067291,0.05271055921912193,0.8722520470619202,True,True,-0.028441384434700012,0.03379639610648155,-0.003045846475288272
34,0.053912512958049774,0.6451287269592285,0.6422862410545349,0.06049363687634468,0.02015967108309269,0.8440293073654175,True,True,-0.02200966514647007,0.03876430541276932,0.003518226556479931
35,0.05501231923699379,0.5866376161575317,0.5852731466293335,0.0399874672293663,0.011811173520982265,0.8405935764312744,True,True,-0.0239506047219038,0.03978060930967331,0.0006830862257629633
36,0.053140897303819656,0.6171339154243469,0.6160045862197876,0.03731681779026985,0.01827082596719265,0.8526724576950073,True,True,-0.024635402485728264,0.043772466480731964,0.0014906359137967229
37,0.05145782604813576,0.6262803077697754,0.6245293021202087,0.04679924249649048,0.025287380442023277,0.8534801006317139,True,True,-0.023383138701319695,0.04245960712432861,4.8300404159817845e-05
38,0.051798492670059204,0.6277787685394287,0.626218318939209,0.04423537477850914,0.025998026132583618,0.8565505743026733,True,True,-0.021462352946400642,0.042082786560058594,-0.00019322310981806368
39,0.05057491362094879,0.5328857898712158,0.5312784314155579,0.041357651352882385,0.018535293638706207,0.8594644069671631,True,True,-0.019790761172771454,0.044149309396743774,0.0014899164671078324
40,0.05134356766939163,0.4029211401939392,0.4008939564228058,0.040366657078266144,0.026913195848464966,0.8763039112091064,True,True,-0.019917523488402367,0.04832020774483681,0.003406819188967347
41,0.05035402253270149,0.4276185631752014,0.42592653632164,0.03800280764698982,0.03220539167523384,0.8683629035949707,True,True,-0.018728770315647125,0.04698259010910988,0.0033171838149428368
42,0.05069522187113762,0.39111584424972534,0.38967272639274597,0.03356732800602913,0.03552525117993355,0.8671956062316895,True,True,-0.01839579828083515,0.044972773641347885,0.0038484083488583565
43,0.05089694634079933,0.318222314119339,0.31654655933380127,0.03261449933052063,0.032778050750494,0.8685430288314819,True,True,-0.01939990743994713,0.04643118008971214,0.004461381584405899
44,0.05207765847444534,0.2727189064025879,0.2706972658634186,0.03314494714140892,0.024747300893068314,0.8763725757598877,True,True,-0.018564272671937943,0.04941946640610695,0.005054911598563194
45,0.05407130718231201,0.6073774695396423,0.6059461236000061,0.04167371243238449,0.019540419802069664,0.8669215440750122,True,True,-0.018756691366434097,0.04918548837304115,0.004227508325129747
46,0.05604205280542374,0.8323805332183838,0.8305932879447937,0.054517216980457306,0.013163886032998562,0.8607133626937866,True,True,-0.019072597846388817,0.051493048667907715,0.0049017551355063915
47,0.056256555020809174,0.6618365049362183,0.6592169404029846,0.05882604047656059,0.01687246933579445,0.8651238679885864,True,True,-0.01819188892841339,0.05055825784802437,0.00473296083509922
48,0.055971503257751465,0.5968714356422424,0.5939511656761169,0.058971039950847626,0.022357802838087082,0.8760485649108887,True,True,-0.017317192628979683,0.05211741849780083,0.008076689206063747
49,0.05558054521679878,0.5843438506126404,0.5818440318107605,0.053992800414562225,0.022141894325613976,0.8715629577636719,True,True,-0.016899123787879944,0.04927351698279381,0.007868100889027119
50,0.05537642538547516,0.3137204945087433,0.30932170152664185,0.0523509755730629,0.027347074821591377,0.8702727556228638,True,True,-0.01707935705780983,0.04800252243876457,0.009020082652568817
51,0.05340798571705818,0.6818896532058716,0.6787384152412415,0.06547985970973969,0.04245247691869736,0.878508448600769,True,True,-0.018095191568136215,0.04832668602466583,0.006502008531242609
52,0.052230365574359894,0.7630382180213928,0.7589327692985535,0.07904686033725739,0.058240409940481186,0.8905074596405029,True,True,-0.02018994651734829,0.04609454795718193,0.007562297396361828
53,0.0515190064907074,0.9262058734893799,0.9223904013633728,0.08398395776748657,0.06715178489685059,0.8897333741188049,True,True,-0.02157752960920334,0.04709608107805252,0.008477375842630863
