i,lpips,bnorm,bnorm_expr,bnorm_eye,head_norm,arcface_cos,render_bs_valid,driving_bs_valid,render_yaw,render_pitch,render_roll
0,0.18931210041046143,1.044786810874939,1.0260361433029175,0.19705183804035187,1.020521640777588,0.2972477972507477,True,False,-0.034684181213378906,0.20919938385486603,-0.2316596657037735
1,0.17717674374580383,1.0527459383010864,1.034766674041748,0.19373200833797455,0.8061662316322327,0.3966466188430786,True,False,0.07338607311248779,0.12445150315761566,-0.07798482477664948
2,0.17795473337173462,1.0613229274749756,1.0439296960830688,0.19135570526123047,0.8043908476829529,0.4523440897464752,True,False,0.08394312113523483,0.1295291781425476,-0.07600975781679153
3,0.17257291078567505,1.069096326828003,1.0530308485031128,0.18464283645153046,0.8037359714508057,0.4684995412826538,True,False,0.08648315072059631,0.13376744091510773,-0.08001333475112915
4,0.17394733428955078,1.104529619216919,1.0896958112716675,0.18041199445724487,0.8085553646087646,0.4599396586418152,True,False,0.08128578960895538,0.12651784718036652,-0.07169858366250992
5,0.16803401708602905,1.1657119989395142,1.1523298025131226,0.1761268973350525,0.8131891489028931,0.4706002175807953,True,False,0.08109071105718613,0.1174902692437172,-0.06943082064390182
6,0.1679602712392807,1.2338597774505615,1.2211995124816895,0.17629988491535187,0.8179649114608765,0.44180458784103394,True,False,0.0762191042304039,0.13305199146270752,-0.06760615855455399
7,0.16591951251029968,1.2458691596984863,1.2333145141601562,0.1764233261346817,0.8224867582321167,0.4645487070083618,True,False,0.0823899582028389,0.12037723511457443,-0.06922396272420883
8,0.1648288518190384,1.2069624662399292,1.1940664052963257,0.17596465349197388,0.822074294090271,0.4571627676486969,True,False,0.07985629886388779,0.12522616982460022,-0.06562191247940063
9,0.1614643782377243,1.1915640830993652,1.1798557043075562,0.16663052141666412,0.817692756652832,0.4574194550514221,True,False,0.07623058557510376,0.12289746105670929,-0.06606403738260269
10,0.16000212728977203,1.1938011646270752,1.1821056604385376,0.166695699095726,0.8171797394752502,0.4605393409729004,True,False,0.0827067419886589,0.1303367167711258,-0.06739078462123871
11,0.1549711972475052,1.1931397914886475,1.1817179918289185,0.16469688713550568,0.8185191750526428,0.4683835506439209,True,False,0.08460307121276855,0.12558585405349731,-0.0740855410695076
12,0.1567857265472412,1.1672543287277222,1.1559796333312988,0.16184565424919128,0.8190849423408508,0.46060582995414734,True,False,0.08385719358921051,0.13109971582889557,-0.06983932107686996
13,0.15475836396217346,1.160417079925537,1.1483343839645386,0.1670200675725937,0.8187732696533203,0.4675210416316986,True,False,0.0818912461400032,0.13184227049350739,-0.06835976988077164
14,0.1541391909122467,1.1743122339248657,1.1576976776123047,0.19683855772018433,0.8194885849952698,0.466168075799942,True,False,0.08131963759660721,0.13255544006824493,-0.06622471660375595
15,0.15086960792541504,1.2332295179367065,1.2106986045837402,0.23465725779533386,0.8248075246810913,0.4510100483894348,True,False,0.0800037831068039,0.13593704998493195,-0.06642474979162216
16,0.15002256631851196,1.2255092859268188,1.2052088975906372,0.22213606536388397,0.8306831121444702,0.44867032766342163,True,False,0.08240287005901337,0.13325093686580658,-0.06520730257034302
17,0.14909882843494415,1.2226887941360474,1.2024033069610596,0.22179833054542542,0.8287663459777832,0.45240816473960876,True,True,0.08368197083473206,0.13002635538578033,-0.06520239263772964
18,0.14842654764652252,1.2204874753952026,1.2004574537277222,0.22020825743675232,0.8275917768478394,0.4429992437362671,True,True,0.08442067354917526,0.12794047594070435,-0.06476569175720215
