batch,style,id_idx,render,age_bin,age_mid,detected,buffalo_age,buffalo_gender
refs,photoreal,19,id_19_seed24083165.png,3-9,,True,8.0,F
refs,photoreal,19,id_19_seed26081590.png,3-9,,False,,
refs,chibi,0,id_00_seed24671558.png,20-29,25.0,True,27.0,F
refs,chibi,0,id_00_seed27158680.png,20-29,25.0,False,,
refs,chibi,0,id_00_seed29065160.png,20-29,25.0,True,21.0,F
refs,chibi,0,id_00_seed29157105.png,20-29,25.0,True,23.0,F
refs,chibi,1,id_01_seed21293139.png,20-29,25.0,True,28.0,F
refs,chibi,1,id_01_seed21991080.png,20-29,25.0,True,21.0,F
refs,chibi,1,id_01_seed23989505.png,20-29,25.0,False,,
refs,chibi,2,id_02_seed21747649.png,20-29,25.0,True,4.0,F
refs,chibi,2,id_02_seed22445590.png,20-29,25.0,False,,
refs,chibi,2,id_02_seed24444015.png,20-29,25.0,True,18.0,F
refs,chibi,3,id_03_seed20383697.png,20-29,25.0,True,20.0,F
refs,chibi,3,id_03_seed25938463.png,20-29,25.0,True,21.0,F
refs,chibi,3,id_03_seed27936888.png,20-29,25.0,True,18.0,F
refs,chibi,4,id_04_seed25148245.png,40-49,45.0,True,24.0,F
refs,chibi,4,id_04_seed27517948.png,40-49,45.0,True,20.0,F
refs,chibi,4,id_04_seed30214314.png,40-49,45.0,True,21.0,F
refs,chibi,5,id_05_seed20544960.png,40-49,45.0,True,65.0,F
refs,chibi,5,id_05_seed22543385.png,40-49,45.0,True,21.0,F
refs,chibi,5,id_05_seed29847019.png,40-49,45.0,False,,
refs,chibi,6,id_06_seed21736769.png,40-49,45.0,True,21.0,F
refs,chibi,6,id_06_seed26670700.png,40-49,45.0,True,20.0,F
refs,chibi,6,id_06_seed28592019.png,40-49,45.0,True,19.0,F
refs,chibi,7,id_07_seed20366672.png,30-39,35.0,True,11.0,F
refs,chibi,7,id_07_seed22365097.png,30-39,35.0,False,,
refs,chibi,7,id_07_seed27431166.png,30-39,35.0,False,,
refs,chibi,8,id_08_seed22677905.png,30-39,35.0,True,26.0,F
refs,chibi,8,id_08_seed23375846.png,30-39,35.0,True,20.0,F
refs,chibi,8,id_08_seed25374271.png,30-39,35.0,True,24.0,F
refs,chibi,9,id_09_seed22290773.png,40-49,45.0,True,11.0,F
refs,chibi,9,id_09_seed27224704.png,40-49,45.0,True,11.0,F
refs,chibi,9,id_09_seed29594407.png,40-49,45.0,True,10.0,F
refs,chibi,10,id_10_seed22019728.png,30-39,35.0,False,,
refs,chibi,10,id_10_seed22096834.png,30-39,35.0,False,,
refs,chibi,10,id_10_seed30098409.png,30-39,35.0,True,21.0,F
refs,chibi,11,id_11_seed22948226.png,30-39,35.0,False,,
refs,chibi,11,id_11_seed24946651.png,30-39,35.0,True,20.0,F
refs,chibi,11,id_11_seed25644592.png,30-39,35.0,True,20.0,F
refs,chibi,12,id_12_seed20739234.png,30-39,35.0,True,22.0,F
refs,chibi,12,id_12_seed28042868.png,30-39,35.0,True,17.0,F
refs,chibi,12,id_12_seed28740809.png,30-39,35.0,True,9.0,F
refs,chibi,13,id_13_seed21084577.png,40-49,45.0,True,19.0,M
refs,chibi,13,id_13_seed26639343.png,40-49,45.0,True,20.0,F
refs,chibi,13,id_13_seed28637768.png,40-49,45.0,True,19.0,M
refs,chibi,14,id_14_seed26283699.png,30-39,35.0,True,26.0,F
refs,chibi,14,id_14_seed28282124.png,30-39,35.0,True,26.0,F
refs,chibi,14,id_14_seed28980065.png,30-39,35.0,True,26.0,F
refs,chibi,15,id_15_seed21298381.png,20-29,25.0,False,,
refs,chibi,15,id_15_seed26364450.png,20-29,25.0,False,,
refs,chibi,15,id_15_seed28811259.png,20-29,25.0,True,24.0,F
refs,chibi,16,id_16_seed20891682.png,40-49,45.0,True,22.0,F
refs,chibi,16,id_16_seed25957751.png,40-49,45.0,False,,
refs,chibi,16,id_16_seed28893257.png,40-49,45.0,True,22.0,F
refs,chibi,17,id_17_seed23969703.png,20-29,25.0,True,21.0,F
refs,chibi,17,id_17_seed26456825.png,20-29,25.0,True,23.0,F
refs,chibi,17,id_17_seed28903634.png,20-29,25.0,True,21.0,F
refs,chibi,18,id_18_seed21904218.png,10-19,,False,,
refs,chibi,18,id_18_seed23902643.png,10-19,,False,,
refs,chibi,18,id_18_seed28968712.png,10-19,,True,52.0,M
refs,chibi,19,id_19_seed20486609.png,3-9,,True,6.0,F
refs,chibi,19,id_19_seed22485034.png,3-9,,True,4.0,F
refs,chibi,19,id_19_seed23182975.png,3-9,,True,4.0,M
refs,furry,0,id_00_seed20587451.png,20-29,25.0,True,29.0,F
refs,furry,0,id_00_seed21239346.png,20-29,25.0,True,28.0,F
refs,furry,0,id_00_seed24174852.png,20-29,25.0,True,25.0,F
refs,furry,0,id_00_seed26173277.png,20-29,25.0,False,,
refs,furry,1,id_01_seed21005677.png,20-29,25.0,True,29.0,F
refs,furry,1,id_01_seed28309311.png,20-29,25.0,True,30.0,F
refs,furry,1,id_01_seed29007252.png,20-29,25.0,True,42.0,F
refs,furry,2,id_02_seed22174188.png,20-29,25.0,True,28.0,M
refs,furry,2,id_02_seed29029438.png,20-29,25.0,True,29.0,F
refs,furry,2,id_02_seed29727379.png,20-29,25.0,True,28.0,M
refs,furry,3,id_03_seed25667061.png,20-29,25.0,True,24.0,F
refs,furry,3,id_03_seed27665486.png,20-29,25.0,True,24.0,F
refs,furry,3,id_03_seed28363427.png,20-29,25.0,True,26.0,F
refs,furry,4,id_04_seed22164417.png,40-49,45.0,True,33.0,F
refs,furry,4,id_04_seed24534120.png,40-49,45.0,True,28.0,F
refs,furry,4,id_04_seed27230486.png,40-49,45.0,True,32.0,F
refs,furry,5,id_05_seed26863191.png,40-49,45.0,True,37.0,M
refs,furry,5,id_05_seed27561132.png,40-49,45.0,True,28.0,M
refs,furry,5,id_05_seed29559557.png,40-49,45.0,True,29.0,M
refs,furry,6,id_06_seed28320617.png,40-49,45.0,True,31.0,F
refs,furry,7,id_07_seed27382844.png,30-39,35.0,True,40.0,M
refs,furry,7,id_07_seed29381269.png,30-39,35.0,True,41.0,M
refs,furry,7,id_07_seed30079210.png,30-39,35.0,True,39.0,M
refs,furry,8,id_08_seed23104444.png,30-39,35.0,True,26.0,F
refs,furry,8,id_08_seed25102869.png,30-39,35.0,True,44.0,M
refs,furry,8,id_08_seed25474147.png,30-39,35.0,False,,
refs,furry,9,id_09_seed22019371.png,40-49,45.0,True,30.0,M
refs,furry,9,id_09_seed29323005.png,40-49,45.0,True,42.0,F
refs,furry,9,id_09_seed30020946.png,40-49,45.0,True,29.0,F
refs,furry,10,id_10_seed23969831.png,30-39,35.0,True,34.0,M
refs,furry,10,id_10_seed24667772.png,30-39,35.0,True,30.0,F
refs,furry,10,id_10_seed27114581.png,30-39,35.0,True,39.0,F
refs,furry,11,id_11_seed21962823.png,30-39,35.0,True,22.0,F
refs,furry,11,id_11_seed22660764.png,30-39,35.0,True,27.0,F
refs,furry,11,id_11_seed29964398.png,30-39,35.0,True,24.0,F
refs,furry,12,id_12_seed25756981.png,30-39,35.0,True,25.0,M
refs,furry,12,id_12_seed27755406.png,30-39,35.0,True,24.0,F
refs,furry,12,id_12_seed30242528.png,30-39,35.0,True,28.0,F
refs,furry,13,id_13_seed23655515.png,40-49,45.0,False,,
refs,furry,13,id_13_seed25653940.png,40-49,45.0,False,,
refs,furry,13,id_13_seed28100749.png,40-49,45.0,True,29.0,M
refs,furry,14,id_14_seed21078366.png,30-39,35.0,True,29.0,M
refs,furry,14,id_14_seed26012297.png,30-39,35.0,True,42.0,M
refs,furry,14,id_14_seed28708663.png,30-39,35.0,True,37.0,M
refs,furry,16,id_16_seed23687924.png,40-49,45.0,False,,
refs,furry,16,id_16_seed25686349.png,40-49,45.0,False,,
refs,furry,16,id_16_seed28621855.png,40-49,45.0,True,50.0,M
refs,furry,17,id_17_seed20985875.png,20-29,25.0,True,37.0,M
refs,furry,17,id_17_seed23472997.png,20-29,25.0,True,34.0,M
refs,furry,17,id_17_seed25919806.png,20-29,25.0,True,40.0,M
refs,furry,18,id_18_seed21184432.png,10-19,,True,33.0,M
refs,furry,18,id_18_seed26698885.png,10-19,,False,,
refs,furry,18,id_18_seed28697310.png,10-19,,True,28.0,M
refs,furry,19,id_19_seed27502781.png,3-9,,True,22.0,F
refs,furry,19,id_19_seed29501206.png,3-9,,True,35.0,F
