set,render,id_idx,mp_detected,iod_over_facew,eye_vpos,lower_face_ratio,bs_jawOpen,bs_eyeBlink,bs_mean_abs,arc_detected,arc_anchor_ok,arc_cosine
refs,id_00_seed24671558.png,0,True,0.5135449828920942,0.3551676458818225,0.17928420289577188,0.0002435168862575665,0.0036671796115115285,0.09474248006674858,True,True,0.20761975646018982
refs,id_00_seed27158680.png,0,True,0.5149219779588577,0.39209762658472,0.17138268193797632,0.00013779777509626,0.0017036445497069508,0.0837372912895728,False,True,
refs,id_00_seed29065160.png,0,True,0.5258294851069921,0.40226804054588594,0.18768751710073436,0.0008260493632405996,0.001778809993993491,0.10653781541596127,True,True,0.04674822464585304
refs,id_00_seed29157105.png,0,True,0.5011507672054009,0.3833436032721573,0.1932164457437489,8.038572559598833e-05,0.006395928678102791,0.08734229684928785,True,True,0.16266848146915436
refs,id_01_seed21293139.png,1,True,0.45468128585496725,0.40859805880706945,0.1939063043944823,0.000602114771027118,0.0034940106561407447,0.12167405791005059,True,True,0.13595014810562134
refs,id_01_seed21991080.png,1,True,0.47254729199900847,0.43360872674500295,0.1866354328105088,0.0013830660609528422,0.003800002741627395,0.13079777959961905,True,True,0.13817700743675232
refs,id_01_seed23989505.png,1,True,0.48826999427890483,0.34202235712912243,0.18335816219142703,0.0017733121057972312,0.0024648598046042025,0.0921836170236477,False,True,
refs,id_02_seed21747649.png,2,True,0.47386667710814157,0.341471288084907,0.22134281182136695,0.001133291283622384,0.003614455577917397,0.121049658773043,True,True,0.1644940972328186
refs,id_02_seed22445590.png,2,True,0.5018543413634026,0.39010864923046024,0.20249072840541885,0.0003740986867342144,0.004425840044859797,0.121495026059739,False,True,
refs,id_02_seed24444015.png,2,True,0.45518043275161435,0.41290120209641235,0.20295166117996377,0.0006261953967623413,0.003243115032091737,0.13517305874359445,True,True,0.08144968748092651
refs,id_03_seed20383697.png,3,True,0.5027787943158847,0.3866036139699645,0.15741020866488403,0.0007426568772643805,0.002401079167611897,0.11108236507403974,True,True,0.16624046862125397
refs,id_03_seed25938463.png,3,True,0.4933012075747454,0.40061653477996784,0.16250950163200842,0.0013872160343453288,0.006505334749817848,0.11122282026401574,True,True,0.12008342146873474
refs,id_03_seed27936888.png,3,True,0.5143265111603783,0.4135999618472421,0.141175425338876,0.0012780969263985753,0.0028054140275344253,0.12887634258042624,True,True,0.12837755680084229
refs,id_04_seed25148245.png,4,True,0.4773951662703817,0.3826016912947145,0.17453107923546538,0.001921682502143085,0.0017832495796028525,0.10937013694721177,True,True,0.1083378717303276
refs,id_04_seed27517948.png,4,True,0.5059027009434715,0.38820394493916,0.2115870265257228,0.00011469350283732638,0.0015405574231408536,0.10926390260406225,True,True,0.2660098075866699
refs,id_04_seed30214314.png,4,True,0.5053711564499931,0.4095221278260812,0.14795489765645553,0.0009618111071176827,0.0026003007660619915,0.08268034943817207,True,True,0.0929282158613205
refs,id_05_seed20544960.png,5,True,0.43798559312378715,0.3724714399801702,0.2043261015763042,0.0021408263128250837,0.00641750858630985,0.08509655172075352,True,True,0.10395212471485138
refs,id_05_seed22543385.png,5,True,0.4373763328345038,0.39312479793299604,0.13632753418627427,0.005070531740784645,0.009475968778133392,0.1081173651313597,True,True,0.2253885269165039
refs,id_05_seed29847019.png,5,True,0.44076131167084553,0.38012666290804403,0.2127092485032125,0.0011768820695579052,0.00350270071066916,0.08888922582537385,False,True,
refs,id_06_seed21736769.png,6,True,0.5178642903017491,0.4131510721931871,0.19256927140023916,0.00010351054515922442,0.004024756024591625,0.12492763931821106,True,True,0.05009666830301285
refs,id_06_seed26670700.png,6,True,0.5220155679832452,0.4042121716872029,0.1887675191814975,0.0008711609989404678,0.003482484142296016,0.1289758136467349,True,True,0.027295351028442383
refs,id_06_seed28592019.png,6,True,0.538913210278348,0.4248704233297955,0.15508710658141864,0.0008171007502824068,0.0013585523411165923,0.12140017272820007,True,True,0.09146206825971603
refs,id_07_seed20366672.png,7,True,0.5361918199846045,0.4266020472129284,0.13980533635495837,0.003307935781776905,0.006397613324224949,0.08653818117972907,True,True,0.10759830474853516
refs,id_07_seed22365097.png,7,True,0.5093592662991828,0.38337462433054814,0.19130512591484386,0.00021432930952869356,0.003442194138187915,0.08792661413939402,False,True,
refs,id_07_seed27431166.png,7,True,0.5068593320687461,0.41491591551920315,0.1870325223252248,0.00021509843645617366,0.010436621028929949,0.09263996848109265,False,True,
refs,id_08_seed22677905.png,8,True,0.5305915111856151,0.36680858003319683,0.16749759690076169,0.0004893050063401461,0.004618444945663214,0.08115083817531772,True,True,0.006247654557228088
refs,id_08_seed23375846.png,8,True,0.5181934725227603,0.4171466206338672,0.12493229990078872,0.002098585246130824,0.0034095023293048143,0.06956857987968071,True,True,-0.022748474031686783
refs,id_08_seed25374271.png,8,True,0.5045544656895333,0.405895981282673,0.16646726378905813,0.0012000947026535869,0.016602041199803352,0.08805765855054823,True,True,0.056828390806913376
refs,id_09_seed22290773.png,9,True,0.49331174342181006,0.3676700623541038,0.24571588249552484,0.00024504403700120747,0.0025519602932035923,0.10936626906962679,True,True,0.23685382306575775
refs,id_09_seed27224704.png,9,True,0.5310478663885169,0.37411758294812786,0.18477159168461554,0.001118115265853703,0.001566846069181338,0.1258435504109439,True,True,0.1668558120727539
refs,id_09_seed29594407.png,9,True,0.4962870986808388,0.42882319616673525,0.18917756064111174,0.0008278266177512705,0.00435658753849566,0.15635358846203998,True,True,0.09871810674667358
refs,id_10_seed22019728.png,10,True,0.4619287154250225,0.3686976037740239,0.17164952589679833,0.002017744118347764,0.0017035477794706821,0.10674440539501753,False,True,
refs,id_10_seed22096834.png,10,True,0.4657801863584714,0.3550409813668932,0.18012577874893745,0.0012126894434913993,0.005935562890954316,0.0663585999573957,False,True,
refs,id_10_seed30098409.png,10,True,0.47984923506790617,0.37834362086644974,0.14869985546291542,0.0016994500765576959,0.001665571820922196,0.10929863428315383,True,True,0.07157360017299652
refs,id_11_seed22948226.png,11,True,0.4850312369856195,0.42091225473806354,0.16026394801082505,0.0007577261421829462,0.004756571026518941,0.10740126428536662,False,True,
refs,id_11_seed24946651.png,11,True,0.4752331752179705,0.35514592116597116,0.15331841000000293,0.002642723498865962,0.00933969602920115,0.033321988803471245,True,True,0.359236478805542
refs,id_11_seed25644592.png,11,True,0.5248097236941186,0.3975889419174898,0.20372925075078194,0.0007868920802138746,0.0029020014917477965,0.1336320677137381,True,True,0.06338906288146973
refs,id_12_seed20739234.png,12,True,0.5154462580186784,0.3604989659508345,0.1800924166883931,0.004693439695984125,0.0007079954229993746,0.12142494166833305,True,True,0.17044426500797272
refs,id_12_seed28042868.png,12,True,0.5092689034385289,0.38710827734793796,0.20809851652387343,0.0017041746759787202,0.0036468118778429925,0.10460027465598738,True,True,-0.02272455021739006
refs,id_12_seed28740809.png,12,True,0.5121232254919827,0.41788943677601303,0.18874138925552966,0.0007583892438560724,0.0030415524379350245,0.139702792183857,True,True,-0.047120608389377594
refs,id_13_seed21084577.png,13,True,0.474406116574882,0.4066129647822341,0.17710956123452945,0.0007847748347558081,0.001331468898570165,0.09642789044209052,True,True,0.06418098509311676
refs,id_13_seed26639343.png,13,True,0.4874894622546268,0.39332220686126956,0.1505983229360502,0.00922178290784359,0.0017963683349080384,0.06828215417953952,True,True,0.10189583897590637
refs,id_13_seed28637768.png,13,True,0.49781001149667314,0.3788138361530995,0.2002032941922497,0.00037129074917174876,0.002866656403057277,0.10057350195434654,True,True,0.1168414056301117
refs,id_14_seed26283699.png,14,True,0.47912772429989037,0.347962449816459,0.22799209481901675,0.0013364244950935245,0.003062632807996124,0.11905061877080365,True,True,0.03519022464752197
refs,id_14_seed28282124.png,14,True,0.4858269766975481,0.3916237847997905,0.19511540772537275,0.00034153429442085326,0.0069890005979686975,0.1072049117226932,True,True,0.04465162754058838
refs,id_14_seed28980065.png,14,True,0.5107452205388238,0.39204512058079416,0.23756505361531668,0.0001367703080177307,0.008015161263756454,0.14473285553010212,True,True,-0.013195579871535301
refs,id_15_seed21298381.png,15,True,0.5048891237719206,0.4091170623295434,0.20276799936610745,0.0004078616912011057,0.0006886815535835922,0.13910758294317915,False,True,
refs,id_15_seed26364450.png,15,True,0.464733722072353,0.39358279631355386,0.12252347047569695,0.005513761192560196,0.004513925407081842,0.07046259598283856,False,True,
refs,id_15_seed28811259.png,15,True,0.5230253242643171,0.41780006025216154,0.17898975473451195,0.0001615008368389681,0.005642544943839312,0.11394707935807852,True,True,0.10355845093727112
refs,id_16_seed20891682.png,16,True,0.47915607893356527,0.4300900749266109,0.19902853618932342,0.0009484871407039464,0.00588783307466656,0.12865878834700967,True,True,0.06036175787448883
refs,id_16_seed25957751.png,16,True,0.45363047452435074,0.3687716972649735,0.20363447897612258,0.0011667422950267792,0.001346773758996278,0.10513955636562582,False,True,
refs,id_16_seed28893257.png,16,True,0.4902738871303191,0.42200552487797344,0.21938557763596983,0.00030750231235288084,0.006488560698926449,0.13141379434733325,True,True,0.019521258771419525
refs,id_17_seed23969703.png,17,True,0.5079989256253642,0.362175290705149,0.1809632882770037,0.0011372164590284228,0.024006323888897896,0.08740332895934043,True,True,0.34579649567604065
refs,id_17_seed26456825.png,17,True,0.4887859236580463,0.34541753823850707,0.18001340208996222,0.0018123965710401535,0.007705035852268338,0.058643250823282006,True,True,0.37521177530288696
refs,id_17_seed28903634.png,17,True,0.5364823374920583,0.37617179249363353,0.16552262677689472,0.005471948999911547,0.005251947557553649,0.12291128275328098,True,True,0.246026873588562
